Voyager2.UTCGregorian      Voyager2.SunMJ2000Eq.X    Voyager2.SunMJ2000Eq.Y    Voyager2.SunMJ2000Eq.Z    Voyager2.SunMJ2000Eq.VX   Voyager2.SunMJ2000Eq.VY   Voyager2.SunMJ2000Eq.VZ   
20 Aug 1977 15:31:44.000   128086088.0771607         -73976434.71790902        -32074198.71263387        21.68074852352458         31.83216835303791         19.54326663815672         
20 Aug 1977 16:31:44.000   128153275.5708209         -73863755.06745845        -32009868.30964541        18.00306200085239         30.84279536107673         17.23646157248489         
20 Aug 1977 17:31:44.000   128217731.7052001         -73753227.81259853        -31948357.29490089        17.8403054516842          30.60789739935131         16.98741237230656         
20 Aug 1977 18:31:44.000   128281830.6680347         -73643214.39346568        -31887386.198334          17.77665648550672         30.5221587010746          16.89714824348719         
20 Aug 1977 19:31:44.000   128345750.518885          -73533416.93464914        -31826646.1824051         17.73658009941526         30.48092473081278         16.8517668299343          
20 Aug 1977 20:31:44.000   128409544.7219166         -73423729.12803163        -31766031.21475341        17.70564939533589         30.45895853432545         16.82537812642803         
20 Aug 1977 21:31:44.000   128473236.4794506         -73314100.48880187        -31705491.84308675        17.67919942414634         30.4470918039731          16.8088168552552          
20 Aug 1977 22:31:44.000   128536837.9487435         -73204502.99044126        -31645000.90627597        17.65527162940942         30.44118268424062         16.7980048147595          
20 Aug 1977 23:31:44.000   128600356.287661          -73094919.43633465        -31584541.85553314        17.63290097824058         30.43908320259579         16.79084834561294         
21 Aug 1977 00:31:44.000   128663796.0598301         -72985338.50933129        -31524103.85290053        17.6115571297147          30.43956713484292         16.7861609267871          
21 Aug 1977 01:31:44.000   128727160.3480009         -72875752.36491778        -31463679.41168496        17.59092450543137         30.44188295426465         16.78321938753821         
21 Aug 1977 02:31:44.000   128790451.3276897         -72766155.34375757        -31403263.1434981         17.57080358031158         30.44554414315205         16.78155760979414         
21 Aug 1977 03:31:44.000   128853670.5874014         -72656543.2313033         -31342851.04177735        17.55106202434768         30.45022171413041         16.78086151620408         
21 Aug 1977 04:31:44.000   128916819.3189798         -72546912.80693012        -31282440.04749255        17.53160860933536         30.45568515381956         16.78091168646912         
21 Aug 1977 05:31:44.000   128979898.4365242         -72437261.55652881        -31222027.77331842        17.5123783989213          30.46176810110037         16.78155015788033         
21 Aug 1977 06:31:44.000   129042908.6538221         -72327587.48214504        -31161612.32151215        17.49332391256081         30.46834745577959         16.78266029314508         
21 Aug 1977 07:31:44.000   129105850.5365747         -72217888.971729          -31101192.15965694        17.47440962914686         30.47533015823829         16.78415408116921         
21 Aug 1977 08:31:44.000   129168724.5386051         -72108164.70764963        -31040766.033556          17.4556084448403          30.48264454166744         16.78596385306145         
21 Aug 1977 09:31:44.000   129231531.0276462         -71998413.60082801        -30980332.90465902        17.4368993197626          30.49023451124649         16.78803671953652         
21 Aug 1977 10:31:44.000   129294270.3041197         -71888634.74230923        -30919891.90414483        17.41826567261717         30.49805552723078         16.79033074030029         
21 Aug 1977 11:31:44.000   129356942.6150432         -71778827.36706948        -30859442.29864568        17.39969425982783         30.50607177139295         16.79281222696514         
21 Aug 1977 12:31:44.000   129419548.1645193         -71668990.82650013        -30798983.46422182        17.38117437672767         30.51425410891797         16.7954538063489          
21 Aug 1977 13:31:44.000   129482087.1218041         -71559124.56712258        -30738514.86627991        17.36269727774225         30.52257859672919         16.79823300514791         
21 Aug 1977 14:31:44.000   129544559.6275283         -71449228.1140312         -30678036.04393764        17.34425574859032         30.53102537453926         16.80113119917667         
21 Aug 1977 15:31:44.000   129606965.7986089         -71339301.05776453        -30617546.59765445        17.32584378592358         30.53957782870107         16.8041328220705          
21 Aug 1977 16:31:44.000   129669305.7321639         -71229343.04379456        -30557046.17934601        17.30745635419152         30.54822195359496         16.80722476162119         
21 Aug 1977 17:31:44.000   129731579.5086389         -71119353.76407804        -30496534.48443011        17.28908919881751         30.55694585820673         16.8103958937782          
21 Aug 1977 18:31:44.000   129793787.1943375         -71009332.95017746        -30436011.24535808        17.27073870111437         30.56573938061272         16.8136367190246          
